ID,Path
IMG_BG_TITLE,Resource/Runtime/2D/Background/bg_title.png
IMG_BG_PHASE1,Resource/Runtime/2D/Background/bg_stage_1.png
IMG_BG_PHASE2,Resource/Runtime/2D/Background/bg_stage_2.png
IMG_BG_PHASE3,Resource/Runtime/2D/Background/bg_stage_3.png
IMG_BG_BOSS,Resource/Runtime/2D/Background/bg_boss.png
IMG_BG_PASTURE,Resource/Runtime/2D/Background/Background_ñqèÍ_01.png
IMG_CHARA_PLAYER1,Resource/Runtime/2D/Character/char_player_01.png
IMG_CHARA_PLAYER2,Resource/Runtime/2D/Character/char_player_02.png
IMG_CHARA_PLAYER3,Resource/Runtime/2D/Character/char_player_03.png
IMG_CHARA_ENEMY,Resource/Runtime/2D/Character/char_enemy_base.png
IMG_CHARA_BOSS,Resource/Runtime/2D/Character/char_boss_01.png
IMG_CUTIN_GIRL,Resource/Runtime/2D/Cutin/cutin_girl.png
IMG_CUTIN_MACKEREL,Resource/Runtime/2D/Cutin/cutin_saba.png
IMG_CUTIN_NORMAL,Resource/Runtime/2D/Cutin/cutin_boss_normal.png
IMG_CUTIN_OLD,Resource/Runtime/2D/Cutin/cutin_boss_old.png
IMG_UI_BTN_BASE,Resource/Runtime/2D/UI/ui_button_base.png
IMG_UI_BTN_START,Resource/Runtime/2D/UI/ui_start_button.png
IMG_UI_MISC1,Resource/Runtime/2D/UI/ui_icon_01.png
IMG_RULE_01,Resource/Runtime/2D/Rule/rule_page_01.png
IMG_RULE_02,Resource/Runtime/2D/Rule/rule_page_02.png
IMG_RULE_03,Resource/Runtime/2D/Rule/rule_page_03.png
IMG_RULE_04,Resource/Runtime/2D/Rule/rule_page_04.png
IMG_RULE_05,Resource/Runtime/2D/Rule/rule_page_05.png
IMG_RULE_06,Resource/Runtime/2D/Rule/rule_page_06.png
IMG_OBJ_ROCK,Resource/Runtime/2D/Prop/prop_rock_01.png
TEX_ENEMY_FISH,Resource/Runtime/3D/Texture/tex_enemy_fish.png
TEX_ENEMY_MERMAN,Resource/Runtime/3D/Texture/tex_enemy_merman.png
MOV_TITLE_BG,Resource/Runtime/Movie/movie_title_bg.mp4
SE_UI_CLICK,Resource/Runtime/Audio/SE/se_decide.wav
BGM_096,Resource/Runtime/Audio/BGM/BGM_096.mp3
BGM_112,Resource/Runtime/Audio/BGM/BGM_112.mp3
BGM_115,Resource/Runtime/Audio/BGM/BGM_115.mp3
BGM_146,Resource/Runtime/Audio/BGM/BGM_146.mp3
BGM_169,Resource/Runtime/Audio/BGM/BGM_169.mp3
BGM_170,Resource/Runtime/Audio/BGM/BGM_170.mp3
SE_BARRIER_HIT,Resource/Runtime/Audio/SE/se_barrier_hit.mp3
SE_BTN1,Resource/Runtime/Audio/SE/se_button_1.mp3
SE_GLASS_DESTROY,Resource/Runtime/Audio/SE/se_glass_break.mp3
SE_GLASS1,Resource/Runtime/Audio/SE/se_glass_1.mp3
SE_HIT1,Resource/Runtime/Audio/SE/se_hit_1.mp3
SE_SHOOT1,Resource/Runtime/Audio/SE/se_shot_1.mp3
SE_SOUND1,Resource/Runtime/Audio/SE/se_sound_1.mp3
SE_SOUND2,Resource/Runtime/Audio/SE/se_sound_2.mp3
SE_SOUND3,Resource/Runtime/Audio/SE/se_sound_3.mp3
SE_SOUND4,Resource/Runtime/Audio/SE/se_sound_4.mp3
SE_SOUND5,Resource/Runtime/Audio/SE/se_sound_5.mp3
SE_SOUND6,Resource/Runtime/Audio/SE/se_sound_6.mp3
SE_SOUND7,Resource/Runtime/Audio/SE/se_sound_7.mp3
SE_SOUND8,Resource/Runtime/Audio/SE/se_sound_8.mp3
SE_SOUND9,Resource/Runtime/Audio/SE/se_sound_9.mp3
SE_SOUND10,Resource/Runtime/Audio/SE/se_sound_10.mp3
SE_SOUND11,Resource/Runtime/Audio/SE/se_sound_11.mp3
SE_SOUND12,Resource/Runtime/Audio/SE/se_sound_12.mp3
SE_SOUND13,Resource/Runtime/Audio/SE/se_sound_13.mp3
SE_STATUS_UP,Resource/Runtime/Audio/SE/se_status_up.mp3
SE_UNKNOWN1,Resource/Runtime/Audio/SE/se_unknown_1.mp3
